Category,Name,Airport,Location,Type,Elevation (ft),Range (mi)
AIRPORT SURVEILLANCE RADAR,SYR,SYRACUSE HANCOCK INTERNATIONAL AIRPORT,"SYRACUSE, NEW YORK",ASR-9,420.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,ROC,GREATER ROCHESTER INTERNATIONAL AIRPORT,"ROCHESTER, NEW YORK",ASR-9,544.4,60.0000000000
AIRPORT SURVEILLANCE RADAR,MSN,DANE COUNTY REGIONAL AIRPORT,"MADISON, WISCONSIN",ASR-9,949.5,60.0000000000
AIRPORT SURVEILLANCE RADAR,MKG,MUSKEGON COUNTY AIRPORT,"MUSKEGON, MICHIGAN",ASR-7F,,60.0000000000
AIRPORT SURVEILLANCE RADAR,RME,GRIFFISS AIRFIELD,"ROME, NEW YORK",ASR-11,479.1,60.0000000000
AIRPORT SURVEILLANCE RADAR,MBS,MIDLAND BAY CITY SAGINAW AIRPORT,"SAGINAW, MICHIGAN",ASR-11,664.7,60.0000000000
AIRPORT SURVEILLANCE RADAR,BOI,BOISE AIR TERMINAL - GOWEN FIELD,"BOISE, IDAHO",,2825.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,FSD,JOE FOSS FIELD,"SIOUX FALLS, SOUTH DAKOTA",,1425.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,NHZ,BRUNSWICK NAS,"BRUNSWICK, MAINE",ASR-9,,60.0000000000
AIRPORT SURVEILLANCE RADAR,RST,ROCHESTER INTERNATIONAL AIRPORT,"ROCHESTER, MINNESOTA",,1286.1,60.0000000000
AIRPORT SURVEILLANCE RADAR,EUG,MAHLON SWEET FIELD,"EUGENE, OREGON",,363.6,60.0000000000
AIRPORT SURVEILLANCE RADAR,BTV,BURLINGTON INTERNATIONAL AIRPORT,"BURLINGTON, VERMONT",ASR-11,335.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,GRB,AUSTIN STRAUBEL AIRPORT,"GREENBAY, WISCONSIN",ASR-7F,675,60.0000000000
AIRPORT SURVEILLANCE RADAR,BGR,BANGOR INTERNATIONAL AIRPORT,"BANGOR, MAINE",ASR-11,230.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,MSP,MINNEAPOLIS-ST. PAUL INTERNATIONAL (WOLD-CHAMBERLAIN) AIRPORT,"MINNEAPOLIS, MINNESOTA",,850.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,PDX,PORTLAND INTERNATIONAL AIRPORT,"PORTLAND, OREGON",,23.3,60.0000000000
AIRPORT SURVEILLANCE RADAR,BIL,BILLINGS LOGAN INTERNATIONAL AIRPORT,"BILLINGS, MONTANA",ASR-11,3501.9,60.0000000000
AIRPORT SURVEILLANCE RADAR,PSC,TRI CITIES AIRPORT,"PASCO, WASHINGTON",,424.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,SAW,MARQUETTE-SAWYER INTERNATIONAL AIRPORT,"Marquette (KI Sawyer), MI",ASR-7F,1260.7,60.0000000000
AIRPORT SURVEILLANCE RADAR,YKM,YAKIMA AIR TERMINAL,"YAKIMA, WASHINGTON",,1060.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,BIS,BISMARK AIRPORT,"Bismarck, ND",ASR-8,1704.63,60.0000000000
AIRPORT SURVEILLANCE RADAR,DLH,DULUTH INTERNATIONAL AIRPORT,"DULUTH, MINNESOTA",,1421.7,60.0000000000
AIRPORT SURVEILLANCE RADAR,MSO,MISSOULA INTERNATIONAL AIRPORT,"MISSOULA, MONTANA",ASR-9,3197.2,60.0000000000
AIRPORT SURVEILLANCE RADAR,FAR,HECTOR INTERNATIONAL AIRPORT,"FARGO, NORTH DAKOTA",ASR-11,900.0,60.0000000000
AIRPORT SURVEILLANCE RADAR,MWH,GRANT COUNTY AIRPORT,"MOSES LAKE, WASHINGTON",,1171.5,60.0000000000
AIRPORT SURVEILLANCE RADAR,SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,"SEATTLE, WASHINGTON",,291.9,60.0000000000
AIRPORT SURVEILLANCE RADAR,GTF,GREAT FALLS INTERNATIONAL AIRPORT,"GREAT FALLS, MONTANA",ASR-11,3643.5,60.0000000000
AIRPORT SURVEILLANCE RADAR,GEG,SPOKANE INTERNATIONAL AIRPORT,"SPOKANE, WASHINGTON",,2373.8,60.0000000000
AIRPORT SURVEILLANCE RADAR,ANC,TED STEVENS ANCHORAGE INTERNATIONAL AIRPORT,"ANCHORAGE, ALASKA",,,60.0000000000
AIRPORT SURVEILLANCE RADAR,FAI,FAIRBANKS INTERNATIONAL AIRPORT,"FAIRBANKS, ALASKA",,,60.0000000000
