Management,Type,Acres,District,Field Office,Name,Lease Status
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),304.917605129,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),26.9871631865,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),51.4678573378,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,National Conservation Area,1.09358759307,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),451.412981029,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),194.722038067,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),113.821109773,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),627.098068195,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),317.092252468,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1017.37411566,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),244.198190324,N/A,Hollister,Panoche/Coalinga,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),122683.527548,California Desert,Ridgecrest,Kelso Creek Monkeyflower,UNKNOWN
Bureau of Land Management,National Conservation Area,6782.27116782,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,3697.19434446,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,10080.3157752,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,11456.7664596,California Desert,Ridgecrest,,
Bureau of Land Management,National Conservation Area,210868.782265,California Desert,Ridgecrest,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3298.00334481,California Desert,Ridgecrest,Jawbone/Butterbredt,UNKNOWN
Bureau of Land Management,National Conservation Area,14269.6905705,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,16.1605048027,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.43011093930,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,67.1437864435,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,744.503771418,California Desert,Needles,,
Bureau of Land Management,National Conservation Area,3.09860897786,California Desert,Needles,,
Bureau of Land Management,National Conservation Area,7456.24483265,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,215.564343951,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,444.765802397,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,11.2822245744,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,36.5178384891,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,36.2374732646,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,25.2240208957,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,3.37253928056,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,15.3902256888,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,7.48301510478,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,239.635932891,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,941.000289073,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,8.67096333704,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,697.820136650,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,58.8242437746,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.36133981670,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,20.0234699725,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,3.10178279985,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,11.3600360724,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,5.40892101745,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,638.886046499,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,42.8777556321,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.48289195865,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.43301541717,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.46423601840,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,22.4391916249,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.74992044587,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.71530206516,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,12.9075768216,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,6.67261576795,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,3.51934078566,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,13.0138202664,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,21.0394268620,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,16.8124489810,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.49009546975,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,247.550182353,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,13.3763918984,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,9.14236667544,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.74508762950,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,22.9638255776,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.74885284147,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.06503603152,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,11.1084195963,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,33.0528414749,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,10.2612949686,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,7.05988052751,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.71386397511,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,49.0330334991,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,18.3419168425,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,76.3542621424,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.12680266479,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,68.5192361056,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.75630123901,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,4.62607178184,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,7.48286465212,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,675.067130063,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,52.8943011393,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,6.99373582250,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,80.7515211678,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,16.7735285354,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.55408887466,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,5.62559806784,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,9.71326108388,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,26.5233270338,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,23.6694216188,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,64.0007814822,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,20.1526611436,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,51.6609910279,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.55683589752,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,44.3310490462,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.21808232995,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,29.2361289630,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.33729282936,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,37.9784928042,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,25.2829739427,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,41.9376450276,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,188.213543580,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,181.237764102,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,10.2223266666,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,6.59322380139,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.23726502552,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,4.49976787456,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,68.9054479893,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,8.50702503414,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,28.6686099153,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,403.845043436,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,279.950538430,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.59795043626,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,5.77839772233,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,2.25595397461,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,4.46295285411,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,39.9905183599,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,34.7306519092,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,639.890954049,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,662.480369835,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,249.319112523,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,640.595796882,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,640.647817321,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,226.923587842,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,4.44884282967,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,60.0105662244,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.57747446066,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,8.20601162886,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,641.195714506,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,640.240816634,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,21.0127867595,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,10.2618055838,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,10.0475500581,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,25979.9228323,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,11.7170436911,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,198.492859035,California Desert,Needles,,
Bureau of Land Management,National Conservation Area,925.285217375,California Desert,Needles,,
Bureau of Land Management,National Conservation Area,60.3154007519,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,6.67835716901,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1445.79200887,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,10.4342706368,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,159.470497287,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,4924.84954667,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,8.98712702046,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,11.1055117301,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,39.9389232382,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,75.4454460936,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,295.866225054,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,561.641525516,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,4.11624488368,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.68723562434,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.21762014514,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,106.393584348,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,22.4111106698,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,3.45463913400,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,4.04825858886,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,49.9851040082,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,10.4598065495,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,20.2432233575,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,87.0561299428,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,101.216203133,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,1.17639766470,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,308.858939093,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,647.785926227,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,19.0679115808,California Desert,Barstow,,
Bureau of Land Management,National Conservation Area,2.90733206725,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,3500.85169429,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,638.032894385,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,112.064885673,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,651.737714558,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),2031.78676390,California Desert,Palm Springs-South Coast,Desert Lily Preserve,UNKNOWN
Bureau of Land Management,National Conservation Area,343.873820097,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,54659.8622854,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3599.26766433,California Desert,Palm Springs-South Coast,Palen Dry Lake,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),9.56056543403,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,National Conservation Area,1982.65073656,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,16446.9996457,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,2.90708375512,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),527.009375273,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,National Conservation Area,1.92578309704,,,,
Bureau of Land Management,National Conservation Area,5400.66767638,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,43733.9268180,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,124247.620020,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,86066.7305696,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,14317.6463996,Colorado River,Lake Havasu,,
Bureau of Land Management,Wilderness Area,8.89401172323,Colorado River,Lake Havasu,,
Bureau of Land Management,National Conservation Area,25852.4036144,California Desert,El Centro,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),10.0475500583,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Wilderness Area,542.363796193,Colorado River,Yuma,,
Bureau of Land Management,Wilderness Area,104.907116956,California Desert,El Centro,,
Bureau of Land Management,Wilderness Area,11556.0578283,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,2133.45411656,Phoenix,Hassayampa,,
Bureau of Land Management,Wilderness Area,112.108960978,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,531.688880204,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,1982.89257520,California Desert,El Centro,,
Bureau of Land Management,Wilderness Area,3268.08437675,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,25979.8025037,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,1558.81746939,Colorado River,Yuma,,
Bureau of Land Management,Wilderness Area,18.3432133622,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,376.268550105,Colorado River,Yuma,,
Bureau of Land Management,Wilderness Area,673.958417811,Colorado River,Yuma,,
Bureau of Land Management,National Conservation Area,1.21080859885,,,,
Bureau of Land Management,National Conservation Area,1.35433984797,,,,
Bureau of Land Management,National Conservation Area,17.6722464049,,,,
Bureau of Land Management,Wilderness Area,343.875599562,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,7.81735038478,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,651.737714556,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,98515.4125740,Colorado River,Yuma,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),631.952907609,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),21.0127867597,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),98.8201549869,California Desert,Palm Springs-South Coast,BIG MARIAS ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),4.18403307178,California Desert,Palm Springs-South Coast,Dos Palmas,UNKNOWN
Bureau of Land Management,Wilderness Area,4307.91810070,Phoenix,Hassayampa,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),630.513836585,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.9905183606,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),165.491750348,California Desert,Palm Springs-South Coast,Dos Palmas,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),640.240816639,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),631.873439027,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),636.793214522,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Wilderness Area,25494.6796574,California Desert,El Centro,,
Bureau of Land Management,Wilderness Area,86067.2639531,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,41277.8979307,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,8607.04604342,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,124248.218737,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),638.871297422,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),10.6104684263,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),48.9080291791,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Wilderness Area,42784.9769469,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Wilderness Area,8428.88444744,Phoenix,Hassayampa,,
Bureau of Land Management,National Conservation Area,19.2282575579,California Desert,Barstow,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),6790.51516397,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),3.67617656553,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),49.1920973859,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),462.375466834,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),10.4342706364,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,National Conservation Area,15035.7636318,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),438.379000958,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),2166.23654681,California Desert,Palm Springs-South Coast,Chuckwalla Valley Dune Thicket,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),4174.54922885,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),11.1055117302,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),42.8291473354,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),4090.85393160,California Desert,Palm Springs-South Coast,Mule Mountains,UNKNOWN
Bureau of Land Management,National Conservation Area,620.422977565,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,626.470386199,California Desert,El Centro,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1057.39085621,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),913.558631969,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,National Conservation Area,16963.8761300,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,8014.53192100,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,3.01076475462,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,14492.9627333,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,120824.488224,California Desert,Palm Springs-South Coast,,
Bureau of Land Management,National Conservation Area,292.833241192,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,305.835332929,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,236.249387667,California Desert,El Centro,,
Bureau of Land Management,National Monument,1121.87818344,Gila,Tucson,,
Bureau of Land Management,National Conservation Area,301477.095596,California Desert,El Centro,,
Bureau of Land Management,National Monument,1895.84218083,Gila,Tucson,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),16586.4434499,California Desert,El Centro,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),50558.6946991,California Desert,Palm Springs-South Coast,Chuckwalla DWMA,UNKNOWN
Bureau of Land Management,National Conservation Area,70.5298239344,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,128.487169178,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,48.9912491347,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,773.105702903,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,25779.6815703,California Desert,El Centro,,
Bureau of Land Management,National Conservation Area,409.293908851,California Desert,El Centro,,
Bureau of Land Management,National Monument,8085.76416742,Gila,Tucson,,
Bureau of Land Management,National Monument,39.0310113407,Gila,Tucson,,
Bureau of Land Management,National Monument,315.578458501,Gila,Tucson,,
Bureau of Land Management,National Monument,86.2258578263,Phoenix,Lower Sonoran,,
Bureau of Land Management,National Monument,9207.92367717,Phoenix,Lower Sonoran,,
Bureau of Land Management,National Monument,11.0854452945,Phoenix,Lower Sonoran,,
Bureau of Land Management,Historic/Scenic Trail,40749.2889869,,Lower Sonoran,,
Bureau of Land Management,Historic/Scenic Trail,17.4334488665,,Tucson,,
Bureau of Land Management,Wilderness Area,7688.07366452,Colorado River,Yuma,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),12.4007052793,Gila,Tucson,WHITE CANYON ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),201.288364240,Gila,Tucson,WHITE CANYON ACEC,UNKNOWN
Bureau of Land Management,National Conservation Area,2.51830906405,,,,
Bureau of Land Management,National Conservation Area,2.85164457378,,,,
Bureau of Land Management,Wilderness Area,5767.69389692,Gila,Tucson,,
Bureau of Land Management,Wilderness Area,64457.0405242,Phoenix,Lower Sonoran,,
Bureau of Land Management,Wilderness Area,1226.58370651,Phoenix,Lower Sonoran,,
Bureau of Land Management,Wilderness Area,42192.2553442,Phoenix,Lower Sonoran,,
Bureau of Land Management,Wilderness Area,1.21605707137,Colorado River,Yuma,,
Bureau of Land Management,Wilderness Area,32006.7758213,California Desert,El Centro,,
Bureau of Land Management,Wilderness Area,3.47892794113,Colorado River,Yuma,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1708.15466991,Gila,Tucson,WHITE CANYON ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1684.52617505,Gila,Tucson,WATERMAN MOUNTAINS ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),39.0310113272,Gila,Tucson,WATERMAN MOUNTAINS ACEC,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1202.62998224,California Desert,El Centro,Lake Cahuilla - A,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),1932.55756025,California Desert,El Centro,Lake Cahuilla - B,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),4536.68778078,California Desert,El Centro,Lake Cahuilla - C,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),31950.7344815,California Desert,El Centro,East Mesa,UNKNOWN
Bureau of Land Management,National Monument,4732.32759439,Gila,Tucson,,
Bureau of Land Management,National Monument,5707.58860326,Gila,Tucson,,
Bureau of Land Management,National Conservation Area,18.1430782567,,,,
Bureau of Land Management,National Conservation Area,1.28523444870,,,,
Bureau of Land Management,National Monument,40160.6866207,Gila,Tucson,,
Bureau of Land Management,National Monument,21725.4400100,Gila,Tucson,,
Bureau of Land Management,Historic/Scenic Trail,18593.6785631,,Yuma,,
Bureau of Land Management,National Conservation Area,309809.611092,,,,
Bureau of Land Management,Wilderness Study Area,28169.9185088,Twin Falls,Jarbridge,,
